TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Cluster,Cluster_After_FS
56,432,0.9281851394898614,1717,1,16,227,374,93,0,0.07454385545754227,1,0.4625699314578524,-0.2067936485059295,0.09886939125022053,2,2,2
57,419,0.17830880145404376,1925,1,19,496,563,96,2,0.1869750562437003,1,1.5204710069848855,-0.2067936485059295,0.3941670816113332,106,1,2
58,320,1.0408310367605926,907,0,30,528,76,0,1,0.6366998593883324,1,-0.22363617158670962,-0.2067936485059295,0.8573960873894472,98,2,0
59,428,-0.9997795408356885,1894,1,5,444,155,70,2,0.2994062570298583,0,0.062283038015191215,-0.2067936485059295,2.2752408808614075,308,1,0
60,237,-0.3297968258033214,547,0,26,96,125,2,1,-0.15031854611477377,1,0.9486325877810838,-0.2067936485059295,-0.6484936773800644,317,0,2
61,314,0.002830612335830326,691,1,16,418,568,4,1,0.6366998593883324,2,1.5061750465047905,-0.2067936485059295,-0.5383240065476822,229,1,2
62,454,0.765588597991415,656,1,0,294,87,62,1,-1.105983752797117,3,0.11946687993557138,-0.2067936485059295,-0.8109611227415868,346,2,1
63,455,-0.6177496136866844,234,0,2,126,438,56,2,0.8615622609606484,1,-1.4816806938350733,-0.2067936485059295,-0.3714029045524825,48,1,2
64,389,-0.3716279208664489,1955,0,16,659,77,39,1,-0.7124745500455638,1,-0.23793213206680466,-0.2067936485059295,-1.0607992091216405,139,0,1
65,214,-0.5620090799702975,1200,1,1,196,420,90,0,-0.03788734532861574,1,1.4346952441043153,-0.2067936485059295,-0.3251202586719357,235,1,2
66,51,-0.5289142086918527,85,1,9,393,499,65,2,-0.5438277488663268,1,0.21953860329623667,-0.2067936485059295,0.3231957427396068,183,1,2
67,277,-0.9346861087145238,1129,1,4,176,563,69,0,0.9739934617468065,2,-0.9241382351113667,-0.2067936485059295,0.19273719168713907,351,1,0
68,108,-0.2181444598649658,1814,0,17,285,149,45,2,-1.0497681524040379,3,2.292452872910018,-0.2067936485059295,0.3649375562089603,142,0,1
69,234,-0.2243112060659182,2259,1,29,72,159,65,0,-0.4313965480801688,1,-0.9813220770317469,-0.2067936485059295,0.40397435658186615,174,1,2
70,6,-0.4623818691237991,990,1,18,69,482,59,2,-1.274630553976354,3,-0.09497252726585426,-0.2067936485059295,-1.1487031607790925,119,0,1
71,21,-0.7059683440614207,452,1,25,350,579,94,1,-0.03788734532861574,0,-0.7239947883900362,-0.2067936485059295,2.4516256827039893,312,1,0
72,458,-0.6074374436506471,2195,1,24,540,185,44,1,-1.443277355155591,3,-0.6096271045492758,-0.2067936485059295,-0.9619880293008822,27,0,1
73,13,-0.4225720964265394,1198,1,39,359,86,31,2,0.2994062570298583,0,-0.7525867093502262,-0.2067936485059295,1.3881555528208673,246,1,0
74,400,-0.3901624191704226,1037,1,10,468,553,73,0,-0.3751809476870898,1,-0.2522280925468997,-0.2067936485059295,-1.169638167350178,208,0,1
75,439,0.16374842847957272,1828,0,31,95,87,80,2,0.7491310601744904,1,-0.5667392231089906,-0.2067936485059295,0.34297438826187915,113,1,0
76,217,-0.12910349666343562,1911,1,10,591,404,27,2,0.2431906566367793,0,0.7198972200995631,-0.2067936485059295,0.5288382739125815,195,1,2
77,138,-0.48951555240798983,1113,1,36,474,199,29,2,-0.6000433492594058,0,0.5340497338583277,-0.2067936485059295,-0.920623122869612,199,0,1
78,298,-0.9354055624379682,1815,1,23,411,170,32,1,1.0864246625329645,0,-0.7239947883900362,-0.2067936485059295,1.219339659661426,341,1,0
79,367,0.9266434529396235,1467,1,42,17,530,53,0,0.1869750562437003,0,-0.06638060630566417,-0.2067936485059295,1.3954552421910913,69,2,0
80,432,-0.9866238156069899,1058,0,36,436,88,42,2,0.7491310601744904,0,0.8485608644204186,-0.2067936485059295,1.99212215941795,167,1,0
81,431,0.3267218266902993,1990,1,18,139,245,21,2,-1.162199353190196,3,-0.2808200135070898,-0.2067936485059295,-1.1083253918285165,135,0,1
82,104,1.4366333637583906,1582,0,25,310,12,51,2,0.8615622609606484,2,-1.2243534051933627,-0.2067936485059295,-0.2692918651534036,109,2,2
83,147,-0.229313122428913,537,1,15,506,485,48,1,-1.330846154369433,3,0.21953860329623667,-0.2067936485059295,-1.1528363182307262,260,0,1
84,367,0.49514251737853404,2210,1,20,620,204,46,2,-1.443277355155591,3,2.006533663308117,-0.2067936485059295,-0.9585497140759189,118,0,1
85,419,1.1873597784354462,390,1,35,174,195,92,0,-0.8811213512248008,1,-0.681106906949751,-0.2067936485059295,-1.0181061540799818,101,2,1
86,9,0.723175088009309,1069,0,23,597,271,47,1,0.35562185742293734,1,0.10517091945547634,-0.2067936485059295,0.6651273460847859,189,2,2
87,342,1.9220933285778141,654,0,37,18,224,1,1,-0.9935525520109589,3,0.9343366273009888,-0.2067936485059295,-0.8310782154000972,263,2,1
88,10,-0.932664786348656,1194,1,21,187,488,6,0,0.6929154597814113,1,-0.5953311440691808,-0.2067936485059295,-1.2597574093539148,281,0,2
89,447,-0.5138056804995192,1503,1,5,91,143,27,1,1.4799338652845175,2,0.19094668233604659,-0.2067936485059295,-0.7688141983061302,59,1,2
90,175,-0.6254923061389914,1553,1,35,508,93,3,1,-0.4313965480801688,0,0.7913770225000384,-0.2067936485059295,0.6485254884549293,135,1,2
91,260,0.2938667733196694,149,1,13,309,231,65,1,-0.8249057508317219,1,-1.367313009994313,-0.2067936485059295,0.9711450930868917,283,2,2
92,17,-0.6819522935788226,1360,0,12,508,396,94,2,-1.387061754762512,3,0.677009338659278,-0.2067936485059295,1.0946013780100716,219,0,2
93,73,-0.7343696362869184,1789,0,13,584,326,8,1,0.5804842589952534,0,0.6341214572189929,-0.2067936485059295,-1.008416822808441,268,1,2
94,458,-0.34750909128050156,342,1,41,160,314,98,1,-0.9935525520109589,1,0.37679416857728215,-0.2067936485059295,1.1036856068259144,129,1,2
95,167,-0.5743768320733188,9,1,19,622,36,44,0,-0.7124745500455638,1,1.649134651305741,-0.2067936485059295,0.7283323487772326,12,1,2
96,230,0.0318828388825395,2078,1,7,77,581,46,2,0.07454385545754227,1,-0.9813220770317469,-0.2067936485059295,1.1034856153363193,264,1,0
97,12,-0.6256293449434569,1890,1,39,178,51,31,2,0.8053466605675694,2,-0.5667392231089906,-0.2067936485059295,0.2641879973352026,181,1,0
98,391,1.572507338386043,413,1,34,27,221,11,1,-0.9935525520109589,3,-1.4673847333549783,-0.2067936485059295,-1.2034495490590456,316,2,1
99,417,0.7063193150600389,2061,1,20,498,343,82,2,-1.274630553976354,3,-1.2100574447132675,-0.2067936485059295,-1.1964831788381467,179,0,1
100,152,-0.529530883311948,1280,1,35,451,285,54,0,1.0302090621398854,2,0.39109012905737717,-0.2067936485059295,0.7351346234169251,258,1,0
101,313,-0.1783346871677061,502,1,27,516,430,88,0,-1.105983752797117,3,0.8628568249005136,-0.2067936485059295,-1.0587351943892802,243,0,1
102,390,-0.14808337108192265,666,0,9,459,120,11,2,0.35562185742293734,1,0.7770810620199433,-0.2067936485059295,0.9576405395523041,33,1,0
103,119,-0.28721201731563323,389,0,9,552,455,8,0,1.8734430680360705,2,2.321044793870208,-0.2067936485059295,-0.40654243487173863,193,1,0
104,331,0.10369117242251924,242,1,14,630,250,50,2,-0.2627497469009318,1,-0.22363617158670962,-0.2067936485059295,-1.1881912240003156,7,0,1
105,462,-1.010982463100752,1220,1,36,648,432,41,2,0.1307594558506213,0,-0.18074829014642452,-0.2067936485059295,1.8027353467582248,210,1,0
106,277,0.00851772272115303,1728,0,2,258,552,39,2,1.3112870641052805,0,-1.038505918952127,-0.2067936485059295,2.1620739016785535,354,1,0
107,83,0.37704932763029453,1143,1,4,524,586,40,2,-1.0497681524040379,1,-0.8240665117507014,-0.2067936485059295,0.8287691004493158,7,2,2
108,90,-0.6227172703485628,851,1,14,638,75,85,1,-0.31896534729401077,1,0.677009338659278,-0.2067936485059295,0.3504304812329405,219,1,2
109,290,-0.8360181694992846,1397,1,15,469,437,24,0,1.3675026644983594,2,0.019395156574906088,-0.2067936485059295,-0.8879040023731489,140,1,2
110,352,-0.8025464415085594,1981,0,11,417,507,27,2,0.07454385545754227,0,0.648417417699088,-0.2067936485059295,1.553943369708361,230,1,0
111,306,0.06946573100723312,854,1,11,302,527,75,2,-0.9935525520109589,3,-0.40948365782794516,-0.2067936485059295,-1.2739978290104745,308,0,1
112,64,0.11667559914563566,1455,1,32,36,373,5,2,-0.20653414650785276,1,-0.8383624722307964,-0.2067936485059295,-0.24145971618474077,276,0,2
113,335,-1.0022804990171859,2047,1,42,20,492,0,0,0.6366998593883324,2,-1.1242816818326973,-0.2067936485059295,0.11385593300257744,264,1,0
114,279,-0.2845397606285538,1309,0,11,110,281,25,2,1.4237182648914386,0,1.8206861770668814,-0.2067936485059295,1.5479410610270494,332,1,0
115,205,1.0319577741714443,1514,1,30,41,568,80,1,0.6929154597814113,0,0.5483456943384226,-0.2067936485059295,-0.9483655320673028,230,2,2
116,173,1.8626527471408554,1343,1,40,267,12,82,2,-1.0497681524040379,3,-0.5667392231089906,-0.2067936485059295,-1.0283313599838995,215,2,1
117,51,-0.8888466286207773,1537,1,23,662,522,4,2,-1.0497681524040379,3,-0.16645232966632947,-0.2067936485059295,-1.2334405805179538,79,0,1
118,376,-0.5922603960560809,1117,1,28,116,135,3,1,-0.6562589496524849,1,-0.20934021110661458,-0.2067936485059295,0.30652465728642897,62,0,2
119,378,0.016637271885740434,1653,0,35,51,312,58,1,1.8734430680360705,2,-1.1385776423127922,-0.2067936485059295,0.004950310944175081,331,1,0
120,200,-0.30680856635421544,2002,1,21,326,500,54,2,0.1307594558506213,1,2.1923811495493526,-0.2067936485059295,1.0847428231704115,142,1,2
121,491,-0.9997795408356885,1985,0,20,230,552,97,1,-1.218414953583275,3,1.9207579004275468,-0.2067936485059295,-1.0246571573609522,269,0,1
122,343,0.2868777942919232,1419,1,0,610,489,33,0,0.6366998593883324,0,-0.6382190255094659,-0.2067936485059295,1.7232720615590722,189,1,0
123,174,-0.9641837113757462,1780,1,25,448,180,64,0,0.2994062570298583,0,0.062283038015191215,-0.2067936485059295,2.381146630575882,335,1,0
124,279,0.6457481634862393,1042,1,28,166,107,59,2,-1.49949295554867,3,-0.7382907488701311,-0.2067936485059295,-0.8629409620821399,40,0,1
125,267,0.13291469747481047,95,1,35,409,312,2,1,-1.330846154369433,3,-1.4530887728748834,-0.2067936485059295,-1.0547866444665035,214,0,1
126,379,-0.21591757929239963,1498,1,6,532,434,44,2,-1.218414953583275,3,0.005099196094811046,-0.2067936485059295,-1.2436196345396575,144,0,1
127,397,-0.9989915677100112,1834,1,6,535,231,89,2,-0.8249057508317219,0,1.8063902165867864,-0.2067936485059295,0.08421616864718898,200,0,2
128,161,-0.2413725372218867,1119,1,5,422,285,56,0,-1.49949295554867,3,2.4925963196313483,-0.2067936485059295,-1.2236307415539647,310,0,1
129,106,-0.218761134485061,1839,0,28,577,581,29,2,1.1988558633191224,2,-1.4673847333549783,-0.2067936485059295,-1.0378309557396708,293,1,2
130,391,-0.6323442463622719,1649,0,17,354,394,18,1,1.3675026644983594,2,0.662713378179183,-0.2067936485059295,0.2470810329944454,58,1,0
131,428,-0.8624666587611474,287,1,20,235,188,84,0,-1.387061754762512,3,-0.39518769734785014,-0.2067936485059295,-0.8858989594902843,61,0,1
132,328,0.4039431930066706,1270,1,22,317,111,76,0,1.1988558633191224,0,0.30531436617680696,-0.2067936485059295,1.2818318721730078,240,1,0
133,274,-0.10906157151034028,217,1,30,155,382,48,2,0.5242686586021743,2,-0.39518769734785014,-0.2067936485059295,-0.17130885521904582,354,1,2
134,70,-0.7817850626320194,1242,1,41,396,343,72,2,1.9858742688222286,2,-0.09497252726585426,-0.2067936485059295,0.34318207173184345,161,1,0
135,237,0.12106084088853528,1994,0,0,528,43,38,1,-0.5438277488663268,1,2.4783003591512536,-0.2067936485059295,-0.5964112783012575,111,0,1
136,298,-0.10172999547143019,1727,1,35,582,345,77,2,-1.387061754762512,3,0.5769376152986128,-0.2067936485059295,-1.158448899906673,131,0,1
137,436,0.6798365660970597,1901,1,37,69,329,8,1,0.9177778613537274,0,2.078013465708592,-0.2067936485059295,1.997442445839873,198,1,0
138,85,0.2695081258259072,280,1,40,462,546,80,0,-0.4313965480801688,1,1.7920942561066913,-0.2067936485059295,1.012289496080916,215,2,2
139,171,-0.7351233497114793,1520,0,39,220,399,57,2,-0.4876121484732478,1,0.7341931805796582,-0.2067936485059295,0.9987413546575703,277,1,2
140,415,-0.7000414157682832,1262,0,27,419,235,91,2,-1.387061754762512,3,-0.681106906949751,-0.2067936485059295,-1.0158806077598714,340,0,1
141,109,1.7327742202085739,641,0,22,106,268,29,1,1.3112870641052805,0,0.13376284041566644,-0.2067936485059295,1.80865817164239,137,2,0
142,270,-0.8970346971875974,1616,1,5,653,37,56,1,-1.218414953583275,3,0.03369111705500113,-0.2067936485059295,-1.154423430180206,316,0,1
143,485,-0.9218044610947563,912,1,42,299,342,34,2,0.9739934617468065,0,-0.29511597398718487,-0.2067936485059295,0.9118142845069875,7,1,0
144,374,-0.5415217787026888,1729,0,21,471,199,1,2,0.4680530582090954,0,0.8199689434602284,-0.2067936485059295,1.2780371618576123,68,1,0
145,223,0.034178238857338526,48,1,11,75,78,48,1,-0.6562589496524849,0,2.363932675310493,-0.2067936485059295,0.04959712899957147,10,0,2
146,252,-0.8117623011088716,886,0,40,439,4,84,1,0.6366998593883324,2,-0.9527301560715568,-0.2067936485059295,-1.04278202710388,179,1,2
147,60,-0.7630792658224637,1386,1,26,113,179,27,1,1.4237182648914386,0,0.07657899849528625,-0.2067936485059295,0.46335900902435356,76,1,0
148,377,-0.6153856943096526,2036,1,18,272,291,99,1,0.35562185742293734,2,0.24813052425642676,-0.2067936485059295,-0.9329969552899499,178,0,2
149,179,-0.22503065978936268,186,1,22,356,183,43,0,-0.6000433492594058,1,0.648417417699088,-0.2067936485059295,-1.2823923435865594,351,0,1
150,472,-0.587155700589737,271,1,3,0,113,0,1,1.7047962668568335,2,2.120901347148877,-0.2067936485059295,0.14239318017173624,139,1,0
151,199,0.023146615097857023,2106,1,15,272,237,6,1,-0.7686901504386429,1,-1.1957614842331725,-0.2067936485059295,-0.2710661486251968,142,0,2
152,326,-0.05393771241404857,813,1,11,146,352,12,0,-1.274630553976354,3,-0.15215636918623443,-0.2067936485059295,-0.9046596996103863,75,0,1
153,468,1.645446242062864,491,1,15,419,108,17,1,-0.7686901504386429,1,-1.4673847333549783,-0.2067936485059295,0.4387626197976026,172,2,2
154,263,-0.6112402704745679,1457,1,20,298,508,92,1,0.6366998593883324,2,-0.33800385542746997,-0.2067936485059295,0.10312305639430272,71,1,2
155,242,-0.4124997442983171,801,1,6,641,86,87,2,1.7610118672499127,2,-1.0956897608725071,-0.2067936485059295,0.058714689730346825,7,1,0
156,293,-0.12578030565514467,892,1,10,314,242,93,1,-1.274630553976354,3,-1.1957614842331725,-0.2067936485059295,-1.079762504724794,29,0,1
157,104,-0.4389482335601798,507,1,6,60,69,45,2,-1.162199353190196,3,-1.4387928123947882,-0.2067936485059295,-0.8482056916885051,74,0,1
158,33,-0.7686635971044372,828,1,32,58,157,21,1,-1.0497681524040379,3,-1.5102726147952634,-0.2067936485059295,-1.1093279132699487,288,0,1
159,268,1.6957737430028592,839,1,3,407,32,58,0,-1.443277355155591,3,0.6341214572189929,-0.2067936485059295,-1.113781569903626,255,2,1
160,154,-0.20738691371441537,2186,1,31,438,487,48,2,1.4799338652845175,2,-1.052801879432222,-0.2067936485059295,-1.008042479763814,87,1,2
161,9,-0.9024819896651054,2011,0,30,35,226,90,2,0.5242686586021743,1,-0.9384341955914618,-0.2067936485059295,-1.1250169892293451,6,0,2
162,34,1.5165269867618414,1210,1,30,29,0,9,2,-0.20653414650785276,0,0.04798707753509617,-0.2067936485059295,2.3973331212658096,124,2,0
163,147,0.5342670960534657,658,1,0,148,363,16,0,0.7491310601744904,0,-0.5381473021488006,-0.2067936485059295,1.7773595035207435,342,1,0
164,222,0.009853851064692875,1948,1,17,263,159,64,1,1.5923650660706756,2,-0.2808200135070898,-0.2067936485059295,0.7105690021116504,97,1,0
165,75,-0.6395045238956,598,0,41,140,12,35,1,-1.443277355155591,3,1.1630719949825095,-0.2067936485059295,-0.8107226713501464,269,0,1
166,434,-0.328563476563131,21,1,19,601,271,18,0,0.8053466605675694,0,2.564076122031824,-0.2067936485059295,0.567723798671563,233,1,0
167,316,0.34813413988805086,165,1,32,291,386,61,0,0.8053466605675694,1,-0.15215636918623443,-0.2067936485059295,-0.4881620385676803,118,2,2
168,253,1.1400471311936944,394,1,23,89,302,83,0,0.9739934617468065,2,-0.9670261165516518,-0.2067936485059295,-0.9616649661253823,351,2,2
169,130,-0.9820672753585085,1831,0,30,483,5,82,0,0.8615622609606484,1,1.7920942561066913,-0.2067936485059295,-0.9928585105153183,329,1,2
170,111,-0.279880441276723,27,1,20,397,132,82,0,-0.3751809476870898,0,1.649134651305741,-0.2067936485059295,0.7073999061996035,240,1,2
171,97,-0.24401053420784963,1603,0,21,606,318,40,1,0.2431906566367793,0,0.30531436617680696,-0.2067936485059295,1.2116758832204007,213,1,0
172,260,0.5046324545877774,1556,0,19,169,428,59,1,-0.09410294572169475,0,-0.2665240530269948,-0.2067936485059295,1.3368474797658774,326,2,0
173,45,-0.05832295415694819,159,0,41,518,211,16,2,-1.105983752797117,3,-1.367313009994313,-0.2067936485059295,-1.2361173896863817,241,0,1
174,4,0.6541760499608744,1120,1,17,449,290,35,1,0.41183745781601633,1,0.17665072185595154,-0.2067936485059295,0.608263099209889,63,2,2
175,357,-1.00824168701144,524,0,20,209,59,84,1,0.2994062570298583,0,0.1623547613758565,-0.2067936485059295,1.6078974840103026,228,1,0
176,420,-0.3364432078199036,1415,1,7,293,279,22,1,1.3675026644983594,2,0.648417417699088,-0.2067936485059295,0.5513834683742539,163,1,0
177,105,-0.9497946369068572,1237,1,40,81,581,68,1,0.9739934617468065,2,-0.6382190255094659,-0.2067936485059295,-0.6030058694709858,291,1,2
178,232,-0.6302201448930549,1842,1,11,21,388,37,2,0.9739934617468065,2,-1.2529453261535526,-0.2067936485059295,0.400169390292645,92,1,0
179,352,0.6698327333710703,1277,1,7,226,400,21,1,0.4680530582090954,2,1.663430611785836,-0.2067936485059295,0.5945098383100356,98,2,2
180,111,0.03363008363947619,988,1,20,13,2,6,0,-1.443277355155591,3,-1.5102726147952634,-0.2067936485059295,-1.040289825464309,205,0,1
181,9,-0.9812450425317147,2080,1,1,127,172,16,2,-0.09410294572169475,0,0.5912335757787078,-0.2067936485059295,0.2160387642184342,237,1,2
182,492,0.05559055205509008,1975,1,40,344,230,96,1,0.8053466605675694,1,0.44827397097775734,-0.2067936485059295,0.5505629904682224,139,1,0
183,374,-0.8448229126862,161,1,39,194,274,62,1,1.0864246625329645,2,-0.18074829014642452,-0.2067936485059295,-0.043880944431981976,120,1,0
184,446,-0.5365541220408105,875,1,22,358,270,58,1,0.8615622609606484,1,-0.2808200135070898,-0.2067936485059295,0.7725766198599822,349,1,0
